STT,Tên sản phẩm,Danh mục,Xuất xứ,Trọng lượng,Giá vốn (VNĐ),Giá bán (VNĐ),Mô tả sản phẩm,Cột 1
11,Trà English Breakfast,Trà Đen,Anh Quốc,200g,140000,300000,"Hỗn hợp trà đen mạnh mẽ, giúp tỉnh táo tinh thần, rất tuyệt vời khi thưởng thức cùng bữa sáng.",
12,Trà Đen Chuyên Pha Trà Sữa,Trà Đen,"Lâm Đồng, Việt Nam",500g,80000,160000,"Lá trà đen xao kỹ, cốt trà đậm đặc không bị lấn át bởi vị béo của bột sữa.",
13,Hồng Trà Cổ Thụ Suối Giàng,Trà Đen,"Yên Bái, Việt Nam",100g,160000,350000,"Lên men từ lá trà Shan Tuyết cổ thụ, vị ngọt như mật ong rừng, hoàn toàn không có vị chát.",
14,Trà Đen Nguyên Lá Khô,Trà Đen,"Phú Thọ, Việt Nam",250g,70000,150000,"Sản xuất theo phương pháp truyền thống, giữ nguyên vóc dáng lá trà, thích hợp uống hàng ngày.",
15,Trà Ô Long Tứ Quý,Trà Ô Long,"Lâm Đồng, Việt Nam",250g,150000,320000,"Mang hương hoa mộc lan nhẹ nhàng, vị thanh tao, nước vàng xanh óng ánh đẹp mắt.",
16,Trà Thiết Quan Âm Phúc Kiến,Trà Ô Long,"Phúc Kiến, Trung Quốc",100g,180000,400000,"Viên trà cuộn tròn chặt chẽ, khi pha nở bung, hương thơm lan tỏa mạnh, pha được rất nhiều nước.",
17,Trà Ô Long Sữa,Trà Ô Long,"Nam Đầu, Đài Loan",200g,160000,350000,Dòng Ô long đặc biệt có mùi thơm béo ngậy của sữa tươi tự nhiên cùng vị ngọt ngào lưu luyến.,
18,Trà Ô Long Nhân Sâm,Trà Ô Long,"Nam Đầu, Đài Loan",150g,200000,450000,"Trà được phủ lớp bột nhân sâm mịn, uống vào ngọt giọng, bồi bổ khí huyết cực tốt.",
19,Trà Ô Long Mộc Châu Cao Cấp,Trà Ô Long,"Sơn La, Việt Nam",250g,140000,300000,"Trồng ở cao nguyên mù sương, chất trà dày dặn, chát nhẹ ban đầu và ngọt hậu kéo dài.",
20,Trà Ô Long Đen (Đại Hồng Bào),Trà Ô Long,"Vũ Di Sơn, Trung Quốc",100g,350000,800000,"Nước trà màu hổ phách đậm, mang hương khói than củi nhẹ và vị khoáng chất đặc trưng của vách đá.",
21,Trà Ô Long Thúy Ngọc,Trà Ô Long,"Bảo Lộc, Việt Nam",250g,130000,280000,"Hương hoa ngọc lan dịu dàng, dễ uống, vô cùng thích hợp cho phái nữ thưởng thức mỗi ngày.",
22,Trà Hoa Cúc Vàng Sấy Lạnh,Trà Hoa,"Hưng Yên, Việt Nam",100g,80000,180000,"Hoa cúc nguyên bông sấy lạnh giữ màu, giúp an thần, sáng mắt, giải nhiệt cơ thể hiệu quả.",
23,Trà Nụ Hoa Hồng Đà Lạt,Trà Hoa,"Lâm Đồng, Việt Nam",100g,90000,200000,"Nụ hồng hàm tiếu sấy khô, chứa nhiều vitamin C giúp dưỡng nhan và làm mờ thâm sạm.",
24,Trà Đậu Biếc Khô,Trà Hoa,"Đồng Tháp, Việt Nam",100g,60000,140000,"Tạo màu xanh dương/tím tự nhiên cực đẹp cho đồ uống, giàu chất chống oxy hóa.",
25,Trà Hoa Nhài Tự Nhiên,Trà Hoa,"Hà Nội, Việt Nam",100g,75000,170000,"Hương hoa nhài nồng nàn quyến rũ, giúp xua tan mệt mỏi, giảm stress và thanh lọc cơ thể.",
26,Trà Quế Hoa (Hoa Mộc),Trà Hoa,"Hà Giang, Việt Nam",50g,120000,280000,Những nụ hoa nhỏ li ti nhưng mang hương thơm ngọt ngào tựa như trái dứa và quả mơ chín.,
27,Trà Hoa Oải Hương (Lavender),Trà Hoa,"Provence, Pháp",50g,150000,350000,"Hương thơm thư giãn cực mạnh, là ""thần dược"" hỗ trợ một giấc ngủ sâu và ngon giấc.",
28,Trà Nụ Tam Thất Bao Tử,Trà Hoa,"Lào Cai, Việt Nam",100g,250000,550000,"Vị đắng nhẹ lúc đầu nhưng hậu ngọt sâu, đặc trị chứng mất ngủ kinh niên và cao huyết áp.",
29,Trà Gừng Mật Ong Hòa Tan,Trà Gừng & Thảo Mộc,Việt Nam,Hộp 20 gói,45000,95000,"Dạng gói tiện lợi, giúp làm ấm bụng tức thì, giải cảm và chống buồn nôn hiệu quả.",
30,Trà Táo Đỏ Kỷ Tử Dưỡng Nhan,Trà Gừng & Thảo Mộc,"Tân Cương, Trung Quốc",250g,85000,180000,"Sự kết hợp hoàn hảo giúp bổ máu, lưu thông khí huyết, vị ngọt thanh tự nhiên rất dễ uống.",
31,Set Trà Thảo Mộc 7 Vị,Trà Gừng & Thảo Mộc,Việt Nam,10 gói/hộp,90000,220000,"Đóng gói sẵn từng set nhỏ gồm táo đỏ, kỷ tử, long nhãn, hoa cúc... bồi bổ sức khỏe toàn diện.",
32,Trà Gừng Khô Cắt Lát,Trà Gừng & Thảo Mộc,"Đắk Lắk, Việt Nam",200g,60000,130000,"Hương vị nồng ấm, cay nhẹ, rất tốt cho hệ tiêu hóa và tăng cường hệ miễn dịch mùa lạnh.",
33,Trà Atiso Túi Lọc,Trà Gừng & Thảo Mộc,"Đà Lạt, Việt Nam",Hộp 100 túi,70000,150000,"Dạng túi lọc tiện dụng, giúp mát gan, thanh nhiệt, giải độc cơ thể do bia rượu.",
34,Trà Cam Quế Mật Ong Khô,Trà Gừng & Thảo Mộc,Việt Nam,15 gói/hộp,110000,240000,"Vị chua ngọt của cam vàng hòa quyện hương quế nồng ấm, thích hợp uống vào buổi sáng.",
35,Trà Khổ Qua Rừng Sấy Khô,Trà Gừng & Thảo Mộc,"Tây Ninh, Việt Nam",150g,75000,160000,"Khổ qua thái mỏng sấy giòn, vị đắng đặc trưng, hỗ trợ hạ đường huyết và giảm mỡ máu.",
36,Bột Matcha Uji Ceremonial,Bột Matcha,"Kyoto, Nhật Bản",100g,220000,450000,"Dùng trong Trà Đạo, bột siêu mịn màu xanh ngọc bích, vị đắng dịu, Umami cực kỳ rõ nét.",
37,Bột Matcha Vụ Xuân Shizuoka,Bột Matcha,"Shizuoka, Nhật Bản",100g,180000,380000,"Thu hoạch từ búp lá non vụ xuân, vị thanh mát, hoàn hảo để pha chế Matcha Latte.",
40,Bột Houjicha (Trà Xanh Rang),Bột Matcha,Nhật Bản,100g,190000,400000,"Trà xanh trải qua quá trình rang, bột có màu nâu caramel, hương khói thơm bùi, ít caffeine.",
42,Trà Đào Túi Lọc Mộc Trà,Trà Đào,"Phú Thọ, Việt Nam",Hộp 25 túi,35000,65000,"Từng túi lọc gọn nhẹ mang hương đào tươi mát, chỉ cần 3 phút có ngay ly trà đào thơm lừng.",
45,Trà Đào Mật Ong Hàn Quốc,Trà Đào,Hàn Quốc,Hũ 1kg,130000,280000,"Dạng mứt sệt có xác đào giòn sần sật, pha cùng nước lạnh và đá viên để giải khát mùa hè.",
46,Set Trà Đào Cam Sả Tiện Lợi,Trà Đào,Việt Nam,10 set/hộp,100000,220000,"Đóng sẵn tỷ lệ chuẩn trà đào, cam sấy và sả khô, dễ dàng pha chế tại nhà chuẩn vị ngoài quán.",
47,Hộp Quà Trà Ô Long Tứ Linh,Hộp Quà Tặng,"Lâm Đồng, Việt Nam",Hộp 400g,450000,890000,"Gồm 4 hộp Ô long cao cấp nhỏ gọn, đóng trong hộp gỗ khắc laser sang trọng biếu đối tác.",
48,Set Quà Trà Chiều Anh Quốc,Hộp Quà Tặng,Nhập khẩu Anh,Hộp 300g,550000,1200000,"Gồm Earl Grey, English Breakfast kèm một bộ tách trà sứ hoàng gia tinh tế.",
50,Set Quà Biếu Tết Thượng Hạng,Hộp Quà Tặng,"Thái Nguyên, Việt Nam",Hộp 500g,400000,850000,"Thiết kế hộp giấy đỏ ép kim cao cấp, bên trong là dòng trà Nõn Tôm đậm đà hương vị truyền thống.",
